Feature,Importance
International plan,0.19411357
Total charges,0.16840175
Total day minutes,0.14862952
Customer service calls,0.1272282
Total intl calls,0.06344823
Total intl minutes,0.0587724
Number vmail messages,0.047468666
Voice mail plan,0.045662865
Area code_510,0.026198588
Total eve minutes,0.025701934
Total night minutes,0.020978836
Total day calls,0.02061268
Account length,0.019725192
Total eve calls,0.014117231
Total night calls,0.010628582
Area code_415,0.008311838
