Threshold,Accuracy,Precision,Recall,F1-score
0.0,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.01,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.02,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.03,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.04,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.05,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.06,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.07,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.08,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.09,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.1,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.11,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.12,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.13,0.14794007490636704,0.14794007490636704,1.0,0.25774877650897227
0.14,0.149812734082397,0.14821763602251406,1.0,0.2581699346405229
0.15,0.15917602996254682,0.14962121212121213,1.0,0.2602965403624382
0.16,0.19662921348314608,0.15551181102362205,1.0,0.26916524701873934
0.17,0.23595505617977527,0.162217659137577,1.0,0.2791519434628975
0.18,0.29775280898876405,0.17256637168141592,0.9873417721518988,0.2937853107344633
0.19,0.3801498127340824,0.1896551724137931,0.9746835443037974,0.31752577319587627
0.2,0.4550561797752809,0.20555555555555555,0.9367088607594937,0.33712984054669703
0.21,0.5374531835205992,0.23076923076923078,0.9113924050632911,0.36828644501278773
0.22,0.6273408239700374,0.2727272727272727,0.9113924050632911,0.4198250728862974
0.23,0.6666666666666666,0.2962962962962963,0.9113924050632911,0.4472049689440994
0.24,0.7078651685393258,0.3257918552036199,0.9113924050632911,0.48
0.25,0.7490636704119851,0.36180904522613067,0.9113924050632911,0.5179856115107914
0.26,0.7902621722846442,0.4057142857142857,0.8987341772151899,0.5590551181102362
0.27,0.8146067415730337,0.4375,0.8860759493670886,0.5857740585774058
0.28,0.8220973782771536,0.44666666666666666,0.8481012658227848,0.5851528384279476
0.29,0.846441947565543,0.48905109489051096,0.8481012658227848,0.6203703703703703
0.3,0.850187265917603,0.4962962962962963,0.8481012658227848,0.6261682242990654
0.31,0.8632958801498127,0.5234375,0.8481012658227848,0.6473429951690821
0.32,0.8670411985018727,0.5317460317460317,0.8481012658227848,0.6536585365853659
0.33,0.8745318352059925,0.5491803278688525,0.8481012658227848,0.6666666666666666
0.34,0.8782771535580525,0.5583333333333333,0.8481012658227848,0.6733668341708543
0.35000000000000003,0.8782771535580525,0.559322033898305,0.8354430379746836,0.6700507614213198
0.36,0.8820224719101124,0.5689655172413793,0.8354430379746836,0.676923076923077
0.37,0.8895131086142322,0.5892857142857143,0.8354430379746836,0.6910994764397905
0.38,0.8913857677902621,0.5945945945945946,0.8354430379746836,0.6947368421052632
0.39,0.8932584269662921,0.6,0.8354430379746836,0.6984126984126984
0.4,0.8951310861423221,0.6055045871559633,0.8354430379746836,0.7021276595744681
0.41000000000000003,0.8951310861423221,0.6055045871559633,0.8354430379746836,0.7021276595744681
0.42,0.9026217228464419,0.6285714285714286,0.8354430379746836,0.717391304347826
0.43,0.9063670411985019,0.6407766990291263,0.8354430379746836,0.7252747252747253
0.44,0.9176029962546817,0.6804123711340206,0.8354430379746836,0.75
0.45,0.9288389513108615,0.7252747252747253,0.8354430379746836,0.7764705882352941
0.46,0.9344569288389513,0.75,0.8354430379746836,0.7904191616766467
0.47000000000000003,0.9419475655430711,0.7857142857142857,0.8354430379746836,0.8098159509202454
0.48,0.9550561797752809,0.8571428571428571,0.8354430379746836,0.8461538461538461
0.49,0.9588014981273408,0.88,0.8354430379746836,0.8571428571428571
0.5,0.9625468164794008,0.9041095890410958,0.8354430379746836,0.868421052631579
0.51,0.9625468164794008,0.9041095890410958,0.8354430379746836,0.868421052631579
0.52,0.9662921348314607,0.9420289855072463,0.8227848101265823,0.8783783783783784
0.53,0.9700374531835206,0.9701492537313433,0.8227848101265823,0.8904109589041096
0.54,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.55,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.56,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.5700000000000001,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.58,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.59,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.6,0.9737827715355806,1.0,0.8227848101265823,0.9027777777777778
0.61,0.9719101123595506,1.0,0.810126582278481,0.8951048951048951
0.62,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.63,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.64,0.9700374531835206,1.0,0.7974683544303798,0.8873239436619719
0.65,0.9644194756554307,1.0,0.759493670886076,0.8633093525179856
0.66,0.9625468164794008,1.0,0.7468354430379747,0.855072463768116
0.67,0.9606741573033708,1.0,0.7341772151898734,0.8467153284671532
0.68,0.951310861423221,1.0,0.6708860759493671,0.803030303030303
0.6900000000000001,0.9438202247191011,1.0,0.620253164556962,0.765625
0.7000000000000001,0.9400749063670412,1.0,0.5949367088607594,0.746031746031746
0.71,0.9363295880149812,1.0,0.569620253164557,0.7258064516129032
0.72,0.9344569288389513,1.0,0.5569620253164557,0.7154471544715447
0.73,0.9269662921348315,1.0,0.5063291139240507,0.6722689075630253
0.74,0.9250936329588015,1.0,0.4936708860759494,0.6610169491525424
0.75,0.9250936329588015,1.0,0.4936708860759494,0.6610169491525424
0.76,0.9194756554307116,1.0,0.45569620253164556,0.6260869565217392
0.77,0.9157303370786517,1.0,0.43037974683544306,0.6017699115044248
0.78,0.9119850187265918,1.0,0.4050632911392405,0.5765765765765766
0.79,0.9044943820224719,1.0,0.35443037974683544,0.5233644859813084
0.8,0.900749063670412,1.0,0.3291139240506329,0.49523809523809526
0.81,0.897003745318352,1.0,0.3037974683544304,0.46601941747572817
0.8200000000000001,0.897003745318352,1.0,0.3037974683544304,0.46601941747572817
0.8300000000000001,0.8951310861423221,1.0,0.2911392405063291,0.45098039215686275
0.84,0.8951310861423221,1.0,0.2911392405063291,0.45098039215686275
0.85,0.8913857677902621,1.0,0.26582278481012656,0.42
0.86,0.8876404494382022,1.0,0.24050632911392406,0.3877551020408163
